Percentage,Number,Err,Universe
"Less than 10.0 percent",1381400,18159,"US"
"Less than 10.0 percent",45143,4184,"NEW YORK"
"10.0 to 14.9 percent",3193566,30039,"US"
"10.0 to 14.9 percent",53008,4200,"NEW YORK"
"15.0 to 19.9 percent",4708840,38335,"US"
"15.0 to 19.9 percent",62480,4814,"NEW YORK"
"20.0 to 24.9 percent",4820400,33703,"US"
"20.0 to 24.9 percent",67833,6020,"NEW YORK"
"25.0 to 29.9 percent",4458671,28851,"US"
"25.0 to 29.9 percent",70164,5089,"NEW YORK"
"30.0 to 34.9 percent",3455267,30821,"US"
"30.0 to 34.9 percent",50532,4666,"NEW YORK"
"35.0 to 39.9 percent",2592355,31379,"US"
"35.0 to 39.9 percent",31306,3292,"NEW YORK"
"40.0 to 49.9 percent",3617031,28317,"US"
"40.0 to 49.9 percent",46741,4309,"NEW YORK"
"50.0 percent or more",10454441,48974,"US"
"50.0 percent or more",130661,6011,"NEW YORK"
